abbrev,abbreviation
acct,account
admin,administrator
advert,advertisement
app,applicant
applic,application
arg,argument
auth,authentication
bln,boolean
bool,boolean
calc,calculate
cat,category
cert,certificate
col,column
comm,comment
config,configuration
curr,currency
cust,customer
dcm,decimal
dep,departure
desc,description
dest,destination
dev,deviation
dir,directory
dis,distance
distrib,distribution
doc,document
dyn,dynamic
exp,expiry
fav,favorite
fed,Federal Reserve Board
flt,flight
fr,french
hex,hexadecimal
id,identifier
ids,idendifier
info,information
inp,input
int,integer
lang,language
lic,license
loc,location
max,maximum
mbx,mailbox
meth,method
min,minimum
msg,message
nbr,number
net,network
no,number
num,number
oper,operator
opt,option
org,origin
param,parameter
parm,parameter
pass,password
pos,position
prov,province
pwd,password
rec,record
ref,reference
reg,register
resp,response
sched,schedule
sec,security
serv,server
soc,social
sqr,square
src,source
std,standard
str,string
sync,synchronization
tel,telephone
tmp,temperature
trans,transaction
tx,taxonomy
txt,text
vid,video
whois,whoIs
